text,sentiment,stress_level
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
joy,positive,low
joyful,positive,low
i feel joy,positive,low
so much joy,positive,low
i am joyful,positive,low
joying,positive,low
very joyful,positive,low
